"","name","no_calls","all_calls","missingness_rate","private_variant_count","heterozygous_variant_count","O_HOM","E_HOM","N_SITES","F","perct_het_alt_in_snvs","perct_hom_alt_in_snvs","hom_AA_count","het_RA_count"
"667","HG01869",0,19858100,0,16233,2084137,75556162,75047578.81,77572882,0.20139,0.561,0.439,49333,63111
"668","HG01870",0,23276810,0,21232,2056910,75580933,75047578.81,77572882,0.2112,0.555,0.445,49014,61020
"669","HG01871",0,24651956,0,22946,2097004,75542929,75047578.81,77572882,0.19615,0.567,0.433,48060,62855
"670","HG01872",0,26117275,0,22770,2036402,75540215,75047578.81,77572882,0.19508,0,1,78887,0
"671","HG01873",0,21560338,0,22804,2012523,75563378,75047578.81,77572882,0.20425,0,1,79297,0
"672","HG01874",0,23870248,0,22456,2093556,75547572,75047578.81,77572882,0.19799,0.575,0.425,47482,64356
"673","HG01878",0,23744342,0,21673,2104591,75533216,75047578.81,77572882,0.19231,0.554,0.446,48961,60697
"674","HG01879",0,23417017,0,11069,2860676,74718106,75047578.81,77572882,-0.13047,0,1,105156,0
"675","HG01880",0,22142650,0,17003,2915514,74768319,75047578.81,77572882,-0.11058,0.7,0.3,45148,105297
"676","HG01882",0,22803899,0,17678,2881684,74696782,75047578.81,77572882,-0.13891,0,1,106956,0
"677","HG01883",0,23097797,0,16352,2958447,74730064,75047578.81,77572882,-0.12573,0.698,0.302,47593,109938
"678","HG01885",0,20869116,0,15644,2870729,74707778,75047578.81,77572882,-0.13456,0,1,105350,0
"679","HG01886",0,25916039,0,20039,2993397,74699606,75047578.81,77572882,-0.13779,0.725,0.275,43273,114089
"680","HG01889",0,25188592,0,21054,2993007,74696437,75047578.81,77572882,-0.13905,0.68,0.32,52075,110794
"681","HG01890",0,23766704,0,20078,2868271,74710100,75047578.81,77572882,-0.13364,0,1,108133,0
"682","HG01892",0,20598548,0,15765,2105457,75473282,75047578.81,77572882,0.16858,0,1,97658,0
"683","HG01893",0,26483107,0,16008,2337160,75316138,75047578.81,77572882,0.10635,0.629,0.371,45037,76370
"684","HG01894",0,21738904,0,12620,2959843,74727077,75047578.81,77572882,-0.12692,0.682,0.318,50430,108106
"685","HG01896",0,22907948,0,11890,2924034,74743959,75047578.81,77572882,-0.12023,0.613,0.387,59516,94293
"686","HG01912",0,21910113,0,11785,2831431,74746674,75047578.81,77572882,-0.11916,0,1,110161,0
"687","HG01914",0,21793466,0,14585,2835044,74743284,75047578.81,77572882,-0.1205,0,1,105414,0
"688","HG01915",0,22948918,0,12583,2963498,74718918,75047578.81,77572882,-0.13015,0.631,0.369,60975,104288
"689","HG01917",0,24039834,0,15289,1940789,75636100,75047578.81,77572882,0.23305,0,1,78979,0
"690","HG01918",0,23319226,0,15877,2031406,75597583,75047578.81,77572882,0.2178,0.499,0.501,52424,52254
"691","HG01920",0,23246734,0,15942,1761447,75815573,75047578.81,77572882,0.30412,0,1,79716,0
"692","HG01921",0,24168423,0,17403,2022601,75598435,75047578.81,77572882,0.21813,0.446,0.554,55704,44773
"693","HG01923",0,18809537,0,15230,1807217,75769194,75047578.81,77572882,0.28575,0,1,77261,0
"694","HG01924",0,19492425,0,19041,2294709,75369486,75047578.81,77572882,0.12747,0.673,0.327,42210,86836
"695","HG01926",0,18195554,0,17248,1735835,75841128,75047578.81,77572882,0.31424,0,1,78010,0
"696","HG01927",0,19412487,0,16513,1900287,75726528,75047578.81,77572882,0.26886,0.486,0.514,53254,50392
"697","HG01932",0,20393056,0,15130,1945882,75630766,75047578.81,77572882,0.23094,0,1,78548,0
"698","HG01933",0,19882454,0,15839,2268363,75379881,75047578.81,77572882,0.13159,0.602,0.398,47325,71710
"699","HG01935",0,18763619,0,15144,1984318,75592369,75047578.81,77572882,0.21573,0,1,78732,0
"700","HG01936",0,22966874,0,14325,2167602,75471374,75047578.81,77572882,0.16782,0.561,0.439,48670,62175
"701","HG01938",0,18184701,0,16050,1776561,75800387,75047578.81,77572882,0.29811,0,1,79411,0
"702","HG01939",0,19453607,0,17247,2086950,75551455,75047578.81,77572882,0.19953,0.565,0.435,48052,62376
"703","HG01941",0,19395367,0,15885,2004380,75572774,75047578.81,77572882,0.20797,0,1,84527,0
"704","HG01942",0,18665827,0,17380,1984925,75647824,75047578.81,77572882,0.23769,0.517,0.483,51625,55306
"705","HG01944",0,18833112,0,18125,2065158,75511808,75047578.81,77572882,0.18383,0,1,80958,0
"706","HG01945",0,19427298,0,14962,2026910,75612828,75047578.81,77572882,0.22383,0.571,0.429,47377,63045
"707","HG01947",0,20692874,0,17477,2106352,75470192,75047578.81,77572882,0.16735,0,1,75976,0
"708","HG01948",0,20400193,0,14713,2441864,75229410,75047578.81,77572882,0.072,0.686,0.314,43014,93923
"709","HG01950",0,19696799,0,16385,2010834,75565494,75047578.81,77572882,0.20509,0,1,77197,0
"710","HG01951",0,19132828,0,18832,1883461,75741191,75047578.81,77572882,0.27466,0.463,0.537,55431,47754
"711","HG01953",0,22439580,0,20896,1904332,75672613,75047578.81,77572882,0.24751,0,1,76857,0
"712","HG01954",0,23308984,0,21910,1933303,75699672,75047578.81,77572882,0.25822,0.52,0.48,51131,55368
"713","HG01956",0,21636005,0,15186,2980935,74701550,75047578.81,77572882,-0.13702,0.652,0.348,55513,103826
"714","HG01958",0,21240897,0,12113,2975918,74710925,75047578.81,77572882,-0.13331,0.665,0.335,54666,108582
"715","HG01961",0,22157096,0,12380,1763974,75812545,75047578.81,77572882,0.30292,0,1,78879,0
"716","HG01965",0,19208947,0,13991,2297076,75367682,75047578.81,77572882,0.12676,0.663,0.337,44676,87836
"717","HG01967",0,23101594,0,20597,2090884,75486473,75047578.81,77572882,0.1738,0,1,82334,0
"718","HG01968",0,24213438,0,23400,1880319,75751885,75047578.81,77572882,0.2789,0.511,0.489,53195,55560
"719","HG01970",0,23693134,0,18930,1788683,75787533,75047578.81,77572882,0.29302,0,1,76500,0
"720","HG01971",0,23635168,0,22766,2366396,75274469,75047578.81,77572882,0.08985,0.576,0.424,47271,64234
"721","HG01973",0,23400875,0,21819,2058306,75577163,75047578.81,77572882,0.20971,0.545,0.455,49265,59055
"722","HG01974",0,23788466,0,23983,1854270,75722832,75047578.81,77572882,0.26739,0,1,80932,0
"723","HG01976",0,22693006,0,21359,2119642,75515566,75047578.81,77572882,0.18532,0.542,0.458,49443,58571
"724","HG01977",0,23106151,0,20489,1971267,75605084,75047578.81,77572882,0.22077,0,1,80650,0
"725","HG01979",0,20923969,0,20561,2038892,75538022,75047578.81,77572882,0.19421,0,1,78068,0
"726","HG01980",0,22321207,0,21593,2121114,75521010,75047578.81,77572882,0.18747,0.584,0.416,46412,65284
"727","HG01982",0,19781004,0,16610,1968668,75608496,75047578.81,77572882,0.22212,0,1,78604,0
"728","HG01985",0,22486540,0,15077,2973264,74712444,75047578.81,77572882,-0.13271,0.664,0.336,54230,107259
